序號,答案
20240117090001,354.54968309777246
20240117091001,370.6219124468286
20240117092001,380.8149691570734
20240117093001,388.6908411827798
20240117094001,392.00449562677744
20240117095001,405.63560200675676
20240117100001,451.7631060897483
20240117101001,449.03999837568114
20240117102001,447.07047871131454
20240117103001,459.54918305652933
20240117104001,468.6856454138032
20240117105001,477.626492030639
20240117110001,478.1105289649074
20240117111001,485.32769709474627
20240117112001,484.6930810394859
20240117113001,482.9080809032835
20240117114001,484.0677250088626
20240117115001,496.68439138127536
20240117120001,332.21602329462235
20240117121001,330.0109307409832
20240117122001,327.1989204196468
20240117123001,314.6219271759393
20240117124001,315.25994455086965
20240117125001,306.8149755340736
20240117130001,567.9336716126555
20240117131001,572.4486012292106
20240117132001,538.2072483167439
20240117133001,512.8646582814172
20240117134001,514.3462935203914
20240117135001,529.1261500596788
20240117140001,745.9478961540891
20240117141001,731.2276068412914
20240117142001,724.2005422106724
20240117143001,735.8766973724294
20240117144001,709.213482801834
20240117145001,689.7061340710144
20240117150001,440.54382408537316
20240117151001,409.86092970726287
20240117152001,408.6885820911314
20240117153001,378.4431766416829
20240117154001,336.0413391559952
20240117155001,315.88810476512
20240117160001,121.24275888939961
20240117161001,100.18600271488276
20240117162001,82.5260089074113
20240117163001,76.20012896713136
20240117164001,73.61655150342742
20240117165001,58.66575776049786
20240119090001,489.0781099707991
20240119091001,495.35348441825874
20240119092001,494.165544199998
20240119093001,515.9188881140424
20240119094001,517.4772938357829
20240119095001,542.4352119229285
20240119100001,619.9578452983885
20240119101001,611.4761581159875
20240119102001,611.6430726863756
20240119103001,633.8515731569936
20240119104001,632.5571815918624
20240119105001,646.2292750103858
20240119110001,652.593710572705
20240119111001,658.5180862848201
20240119112001,682.4117458960197
20240119113001,682.5101320935014
20240119114001,688.8195341594375
20240119115001,697.5611675231871
20240119120001,888.9901294818
20240119121001,885.9982543248007
20240119122001,857.1267442648827
20240119123001,843.8812079059139
20240119124001,838.6187771037768
20240119125001,822.4145514127333
20240119130001,745.9245686683244
20240119131001,756.6783777035744
20240119132001,753.324392932879
20240119133001,758.8600273197685
20240119134001,711.1249032367876
20240119135001,738.2249639147844
20240119140001,488.22241446809187
20240119141001,487.22476179616734
20240119142001,499.4029762696269
20240119143001,476.4372027160682
20240119144001,460.70756102932137
20240119145001,438.10029901858417
20240119150001,317.8978854098146
20240119151001,294.94998891413053
20240119152001,276.8674833928404
20240119153001,244.8915930636483
20240119154001,238.13777469371254
20240119155001,215.73946580317332
20240119160001,61.84428658769303
20240119161001,51.75791191947396
20240119162001,44.23949872825207
20240119163001,42.19136770978895
20240119164001,42.09910073204511
20240119165001,25.59819380213169
20240224090001,96.54131761298325
20240224091001,104.38077594307576
20240224092001,112.50014650183131
20240224093001,125.47093223751259
20240224094001,128.50651251476253
20240224095001,137.61624516819901
20240224100001,98.07776618526532
20240224101001,98.39299639031539
20240224102001,106.53516310103309
20240224103001,114.53214983454438
20240224104001,114.93046662510798
20240224105001,120.33565620053729
20240224110001,165.67147344246212
20240224111001,165.67147344246212
20240224112001,165.93890884682284
20240224113001,165.93890884682284
20240224114001,166.8587461416427
20240224115001,167.2302382187498
20240224120001,140.4715669234677
20240224121001,140.4715669234677
20240224122001,137.87148344013985
20240224123001,128.6048439813585
20240224124001,128.40234243432076
20240224125001,127.5326155649867
20240224130001,107.00896701983557
20240224131001,99.56876700224444
20240224132001,97.89292622559614
20240224133001,90.92629238200531
20240224134001,88.08893791217766
20240224135001,82.05182941671018
20240224140001,77.18042369107022
20240224141001,72.68661511376293
20240224142001,64.82651856647465
20240224143001,62.10134874896332
20240224144001,52.99290066049235
20240224145001,44.95187950220223
20240224150001,44.95187950220223
20240224151001,38.09481686955082
20240224152001,34.83182929181738
20240224153001,28.79664348586563
20240224154001,23.07517428734797
20240224155001,18.011802012966065
20240224160001,6.397903032111733
