序號,答案
20240117090001,562.4147238032408
20240117091001,624.5568356183788
20240117092001,727.0652465084863
20240117093001,869.591690281169
20240117094001,884.6051537543512
20240117095001,936.4676075838912
20240117100001,1060.6460024730734
20240117101001,997.5594398009384
20240117102001,1019.6420526137894
20240117103001,1032.3453821682124
20240117104001,1051.4547552481629
20240117105001,1080.5633130847573
20240117110001,1699.3195355228643
20240117111001,1675.091037565228
20240117112001,1616.8517032908383
20240117113001,1519.6224644754984
20240117114001,1431.6117906611685
20240117115001,1148.9783683112846
20240117120001,1183.4621537879088
20240117121001,1072.9250919174358
20240117122001,1038.0009503258318
20240117123001,1099.944421520091
20240117124001,1151.5552155759706
20240117125001,1119.0080949681885
20240117130001,1060.285948687358
20240117131001,997.3052244881084
20240117132001,987.6970360576026
20240117133001,948.6842507839392
20240117134001,914.2955468260363
20240117135001,809.4199965247942
20240117140001,698.775370146923
20240117141001,667.6163464846358
20240117142001,642.5399750712562
20240117143001,635.1173756866239
20240117144001,583.6842497026634
20240117145001,572.813619923866
20240117150001,642.8130785809925
20240117151001,482.5061785074045
20240117152001,261.750512211544
20240117153001,122.53882739121015
20240117154001,87.96017757897046
20240117155001,47.99687551388001
20240117160001,83.28916955518453
20240117161001,32.67473616507085
20240117162001,22.346283912417682
20240117163001,18.9631647391165
20240117164001,8.603614619017971
20240117165001,3.861096160156756
20240119090001,543.0559774937703
20240119091001,676.8115799949826
20240119092001,815.5206861741025
20240119093001,894.6985454436024
20240119094001,861.7534386732708
20240119095001,923.47486038692
20240119100001,959.4376812070665
20240119101001,973.7971181558121
20240119102001,979.2165030574449
20240119103001,998.1594068813074
20240119104001,1054.999924505727
20240119105001,1224.5089076449287
20240119110001,1358.1095045444335
20240119111001,1272.1069057018526
20240119112001,1263.174118749571
20240119113001,1169.34840349187
20240119114001,1048.7124283612075
20240119115001,868.1341483139976
20240119120001,848.7119967821209
20240119121001,819.3859317940685
20240119122001,903.1494631739286
20240119123001,948.8120038360105
20240119124001,1035.4318968165182
20240119125001,861.4928774363252
20240119130001,1053.9711656287202
20240119131001,1038.8892724193217
20240119132001,854.8181825067393
20240119133001,650.1862474946988
20240119134001,523.9995118496674
20240119135001,481.3781550751181
20240119140001,432.77624977678914
20240119141001,389.01278405370164
20240119142001,332.9163272457876
20240119143001,302.5117201609217
20240119144001,264.58275743585455
20240119145001,212.85022570243817
20240119150001,217.22985114323942
20240119151001,200.7020370058257
20240119152001,146.07899076992607
20240119153001,99.65902542331811
20240119154001,85.03666039508913
20240119155001,55.03967598602418
20240119160001,51.76894862425537
20240119161001,28.00332231234131
20240119162001,15.542371335976224
20240119163001,12.404901350815406
20240119164001,10.430035076403335
20240119165001,4.695373602282244
20240224090001,40.86292874490911
20240224091001,66.22838881584242
20240224092001,29.89580001656644
20240224093001,66.39537238468667
20240224094001,80.0707755671705
20240224095001,85.68800704609723
20240224100001,283.7106531550194
20240224101001,252.17282554033966
20240224102001,288.53581974850266
20240224103001,267.59663240701116
20240224104001,266.62680607545224
20240224105001,290.0165002326024
20240224110001,417.8768428828496
20240224111001,365.20047229631416
20240224112001,293.37179865368205
20240224113001,274.3917900217849
20240224114001,292.39332230412816
20240224115001,310.3765356313133
20240224120001,147.98713156279987
20240224121001,134.07485868607222
20240224122001,155.36913958560987
20240224123001,144.98772466056516
20240224124001,127.50522555206453
20240224125001,60.42699851951635
20240224130001,222.2205886046239
20240224131001,187.55304875322648
20240224132001,152.19057486380697
20240224133001,110.01653010943367
20240224134001,102.86598627446905
20240224135001,80.26544029199935
20240224140001,75.98983704215318
20240224141001,55.70986733419134
20240224142001,56.50426776258012
20240224143001,33.98006845660001
20240224144001,24.858921287124904
20240224145001,24.10845514632367
20240224150001,24.123354642879512
20240224151001,20.323445370229607
20240224152001,20.021700567458637
20240224153001,16.78361553566995
20240224154001,14.11115998124195
20240224155001,14.081965786641685
20240224160001,19.292038387853932
20240224161001,15.128693969048888
20240224162001,12.864889293981316
20240224163001,10.93621919729561
20240224164001,9.39221766695253
20240224165001,9.24416837768662
20240226090001,82.12847903785998
20240226091001,89.14096282744086
20240226092001,80.60517930884598
20240226093001,81.47610654265269
20240226094001,119.04003748269068
20240226095001,103.72499127245868
20240226100001,65.18633564604461
20240226101001,70.20374561056349
20240226102001,64.76461955630133
20240226103001,61.31282736604692
20240226104001,76.81764657800288
20240226105001,71.41998501105543
20240226110001,114.70406127272024
20240226111001,146.77680156753962
20240226112001,68.34566269916964
20240226113001,58.76007214096607
20240226114001,78.28574257331364
20240226115001,103.05430445570126
20240226120001,100.42730171360118
20240226121001,87.23215410943168
20240226122001,85.72868055516899
20240226123001,104.93949137141324
20240226124001,60.526644183652415
20240226125001,64.22214512249923
20240226130001,55.150874310058654
