序號,答案
20240117090001,558.6794028715578
20240117091001,615.2412548431579
20240117092001,677.9938190143279
20240117093001,795.8483142557614
20240117094001,850.6949453350555
20240117095001,890.7604016700939
20240117100001,1030.3774061627696
20240117101001,967.7951173048494
20240117102001,993.3118408653695
20240117103001,1021.1760819412025
20240117104001,1064.9240855996034
20240117105001,1097.083888374492
20240117110001,1734.0601769917155
20240117111001,1713.1074478951282
20240117112001,1657.8879820418883
20240117113001,1581.9210049337848
20240117114001,1470.416304724555
20240117115001,1168.429733404592
20240117120001,1129.6695762011657
20240117121001,1037.917165150507
20240117122001,1026.5289919588163
20240117123001,1069.1405313404753
20240117124001,1103.5633408925169
20240117125001,1095.7127492071431
20240117130001,984.8815240804441
20240117131001,981.0560458715314
20240117132001,983.9725518957999
20240117133001,929.4345717406753
20240117134001,904.830497253215
20240117135001,787.9577041248118
20240117140001,679.6753829430393
20240117141001,651.7250045545784
20240117142001,619.3769718816256
20240117143001,615.6161758841005
20240117144001,568.9962548035428
20240117145001,563.3664389375897
20240117150001,627.9942520108053
20240117151001,460.27364024173494
20240117152001,276.4220385763691
20240117153001,126.26386601180005
20240117154001,78.45607379843105
20240117155001,41.006365540499765
20240117160001,68.68004527213911
20240117161001,33.29402749435597
20240117162001,21.25625864793539
20240117163001,7.5050734329543705
20240117164001,6.178361650596218
20240117165001,4.3497158730127214
20240119090001,559.8393897260422
20240119091001,651.2454990442989
20240119092001,725.1256218202635
20240119093001,817.4762953501763
20240119094001,802.9621844429947
20240119095001,862.1472945062443
20240119100001,889.2757665584902
20240119101001,888.8351769613403
20240119102001,940.7694410594845
20240119103001,963.5988861742
20240119104001,1042.299871287437
20240119105001,1186.0126959364704
20240119110001,1241.275959869811
20240119111001,1218.2441120670494
20240119112001,1142.8589859727592
20240119113001,1120.6466205347972
20240119114001,1011.6407385929525
20240119115001,891.3421563223669
20240119120001,890.9838532538249
20240119121001,843.5317674093569
20240119122001,869.8880132631836
20240119123001,937.3363421317283
20240119124001,1010.4464860840002
20240119125001,865.4306326235777
20240119130001,1005.7636258965128
20240119131001,991.4741754409612
20240119132001,854.420924960209
20240119133001,642.9295434318834
20240119134001,579.925815531978
20240119135001,529.4559567856885
20240119140001,479.36756925235863
20240119141001,425.68404882707677
20240119142001,379.924943344681
20240119143001,333.71098927748346
20240119144001,296.4657268714283
20240119145001,261.41703640228906
20240119150001,285.89585875585635
20240119151001,263.64803684620944
20240119152001,194.12762540007245
20240119153001,125.04693779670686
20240119154001,94.3203242518572
20240119155001,65.39483271443532
20240119160001,53.708775753304494
20240119161001,41.06059588858909
20240119162001,17.57102224342433
20240119163001,11.357603677973948
20240119164001,10.030891895615797
20240119165001,4.47454616427758
20240224090001,35.19540923077338
20240224091001,51.549014216688626
20240224092001,32.88968270442717
20240224093001,37.79671199502433
20240224094001,41.59817588419286
20240224095001,39.71013607722105
20240224100001,162.61051225482652
20240224101001,156.08282852314323
20240224102001,194.53371393928256
20240224103001,182.38763269432394
20240224104001,214.37560378715074
20240224105001,210.66411804791304
20240224110001,267.4629095982413
20240224111001,244.16238998578396
20240224112001,231.47995004310374
20240224113001,200.12827034286624
20240224114001,223.69493264457245
20240224115001,221.04464868985374
20240224120001,185.75846489157072
20240224121001,174.86214074129848
20240224122001,180.69032104553204
20240224123001,177.8919275811451
20240224124001,156.19838065968895
20240224125001,71.82917902605028
20240224130001,154.05883979803636
20240224131001,128.76589504400116
20240224132001,114.96167746413653
20240224133001,89.53146537311906
20240224134001,75.06109030037543
20240224135001,53.04338565836765
20240224140001,58.12814377834099
20240224141001,44.518994627371406
20240224142001,40.949480730706625
20240224143001,37.71708645288383
20240224144001,31.404237338110686
20240224145001,26.527963341344073
20240224150001,23.864916678617657
20240224151001,24.089497370273886
20240224152001,25.602321186079152
20240224153001,20.166765678607064
20240224154001,18.660295777731225
20240224155001,19.457300651361884
20240224160001,15.12491368215703
20240224161001,10.649656438787854
20240224162001,7.7332161343922
20240224163001,7.816001370278078
20240224164001,6.11591906388842
20240224165001,5.3581403522362585
20240226090001,77.20347744765606
20240226091001,72.61025377419448
20240226092001,63.23047569428379
20240226093001,63.02410358049239
20240226094001,80.51541008949934
20240226095001,76.72913992880807
20240226100001,58.42557470328226
20240226101001,65.72918604580953
20240226102001,59.845509812937266
20240226103001,58.951049260655246
20240226104001,61.71598707171636
20240226105001,63.68703592087129
20240226110001,75.09731994913207
20240226111001,94.66854152767888
20240226112001,79.15284455064165
20240226113001,72.44130857941988
20240226114001,82.03269015871936
20240226115001,82.03269015871936
20240226120001,81.75378775189532
20240226121001,72.39524694295653
20240226122001,78.75477829478496
20240226123001,83.10645274848244
20240226124001,42.39450649343423
20240226125001,46.56137270813935
20240226130001,58.10818389084
20240226131001,44.068124919702605
20240226132001,42.33814557862977
20240226133001,44.085181505083455
20240226134001,41.1801425739119
20240226135001,44.09852550998878
20240226140001,37.42171192300516
20240226141001,37.42171192300516
20240226142001,32.88092286532012
20240226143001,33.100078684526764
20240226144001,30.512427812866207
20240226145001,24.98788330434105
20240226150001,24.912554276238428
20240226151001,25.13713496789465
20240226152001,25.602321186079152
20240226153001,21.268987496535253
20240226154001,20.007484330872387
20240226155001,19.457300651361884
20240226160001,15.42020430361369
20240226161001,11.351111273137247
20240226162001,8.028506755848877
20240226163001,7.4499833874388806
20240226164001,5.849021927309186
20240226165001,4.923162366303556
20240327090001,792.3914821015469
